heading,description
"Ahead of winter session, acoustics, furniture and toilets being fixed in new Parliament building",The new building was used for the first time during the Special Session of Parliament in September.
"At least 6 dead, say officials, as 2 trains collide in Andhra Pradesh’s Vizianagaram","Andhra CM Jagan Mohan Reddy has ordered the officials to take quick relief measures and ensure that the injured get prompt medical services, a statement from the CM office said."
"Man claiming to be behind Kochi blasts says Jehova’s Witnesses ‘anti-national’, was a member for 16 years","Dominic Martin, an estranged member of Jehovah’s Witnesses, who is now in police custody, posted a video on social media taking responsibility for the act."
Police inspector in critical condition after being shot by suspected militants in Srinagar,Police sources said inspector Ahmad was shot at point blank range at the Eidgah ground in downtown Srinagar where he was playing cricket.
‘Saw a fireball near my sister’s seat’: Eyewitnesses recount Kerala blast horror,Sunday was the third day of what had until then been a satisfying prayer meet for Rosamma and family.
"Former Hamas chief Khaled Mashal virtually addresses pro-Palestine rally in Kerala, BJP demands strong action against organisers","The organisation, which has launched a campaign, “Uproot Hindutva and Apartheid Zionism”, has also announced the virtual participation of Dr Mohammad Makram Balawi, who is the director general of the League of Parliamentarians for al-Quds, in another rally in Palakkad Sunday."
"Kochi blasts: Premeditated act, likely use of IEDs, say investigators as they explore multiple angles","According to senior officers of the National Investigation Agency and the Kerala Police, key evidence discovered at the site, including fragments of a tiffin box and wire, and what seemed like remnants of a suitcase, pointed to a premeditated act."
Kerala convention centre blasts: What has happened so far,"The Ernakulam District Collector N S K Umesh said of the 36 injured, 10 people were admitted to the burns unit of the Kalamassery Medical College."
Kochi Convention Centre Blast Live Updates: Toll rises to two as woman undergoing treatment for burns succumbs,Kochi Convention Centre Blast Live Updates: A series of blasts took place at a hall in Kalamassery in Kochi. Thousands of members of Jehovah's Witnesses had gathered there for a meeting today.
"On Mann Ki Baat, PM Modi says website for youth initiative to launch soon, pays tribute to Patel and Indira Gandhi","Speaking during his monthly radio address, Mann Ki Baat, the Prime Minister said the new national organisation would be launched on October 31, the birth anniversary of Sardar Vallabhbhai Patel."
"Kochi convention centre blast: 2 killed, dozens injured in blasts during prayer meet; Shah calls for NIA, NSG probe",Thousands of members of Jehovah's Witnesses had gathered for a meeting on Sunday.
"ED arrests two Chandigarh industrialists, searches Ashoka University",The agency said the two availed services of “shell companies” and “illegally inflated the value of primary security against which drawings were allowed by banks”.
"PM at Rozgar Mela: Govt boosted jobs in traditional, emerging sectors","Exams are now being conducted in 13 different regional languages apart from Hindi and English to help the language barrier for those affected, he said."
Three Diwalis in MP after Ram Mandir opens: Shah,"First the usual Diwali, second after winning MP polls and third after the temple opens in Ayodhya, says Union Home Minister"
"Manipur: Almost six months after clashes began, only 25% of looted arms found","6.5 lakh rounds of ammunition had gone missing, less than 5% recovered"
"India abstains from UNGA vote on Israel-Hamas war | Decision is shocking, says Opposition; India will not side with terror: BJP","Criticising the government, the Congress and Left parties said it was “shocking” and “goes against everything the country has stood for”."
"Antiquities from Met set to return as US hands over 1,414 objects","While no specific details regarding their age or region have been provided to the ASI at this stage, the US authorities have said the 1,414 objects, from different sources, seem to be of “Indian provenance”."
J&K to UP to Karnataka — protests for Palestine run into police action,"In Delhi, as many as 207 students from student organisations, including the All India Students' Association (AISA), were detained from near the Israel Embassy on Monday while they were protesting against the country’s actions in Gaza."
"Stuck since 1975, Jamrani Dam project gets nod for construction","The construction of the Jamrani Dam (150.60 m height) is proposed on the Gaula River, 10 km upstream from Kathgodam in Nainital district of Uttarakhand."
"JD(U)’s UP unit wants Nitish to contest LS polls from Phulpur, allies back proposal","After the party's meeting, JD(U)'s UP unit president Satyen Patel told reporters: “We have a strong and vibrant organisation in UP and can impact polls in several Lok Sabha constituencies, including Phulpur. We have requested Nitish Kumar to contest from Phulpur.”"
No one has harmed tribals more than Jharkhand CM Soren: Nadda in Ranchi,Nadda was speaking at the culmination of BJP Jharkhand president Babulal Marandi's 'Sankalp Yatra' which was held across 81 constituencies of the state since he assumed charge as head of the party in the state.
Uttarakhand govt signs Rs 4.6k cr of MoUs with 18 companies from various sectors,"Companies that signed MoUs on Saturday include Bharat Semiconductor Society, Hayes Precision Products Limited, Redwood Group, KEC Agritech, Himalayan Basket and Silage Agro."
"Goa jail superintendent summoned, 4 staffers suspended after inmates burn Ravana effigy",Sources confirmed that the Prisons Department has sought an explanation from the Superintendent of Central Jail at Colvale for the “serious security lapse” and allowing explosive substances to be taken into jail premises.
Kashi Vishwanath temple trust to discuss dress code proposal: Chairman,"He noted that it was a ""complicated issue"" and they need to bear in mind the sentiments of various sections and the ""practicality"" of implementing the proposal."
SC bench to hear pleas against poll bonds on Oct 31,"On October 16, a three-judge bench presided by CJI Chandrachud had referred it to a Constitution bench and fixed the hearing for October 31."
"Cash-for-query row: Ethics panel asks Moitra to appear before it on Nov 2, rules out any more extension",Moitra on Friday had written to the committee expressing her inability to appear before it on October 31 as scheduled and sought an extension till November 5.
"‘Wife and kids are worried sick, all hope on Centre’: Family of Navy officer sentenced to death in Qatar","The eight former Navy officers, all employees of Doha-based Dahra Global, were taken into custody last year. The charges against them have not been made public."
Govt boosted employment in traditional as well as emerging sectors: PM Modi,"Distributing appointment letters at a virtual event to nearly 51,000 people recruited in different government departments as part of 'Rozgar Mela', he said the exercise underscores his government's commitment to the youth in the country."
"Congress, Left parties condemn Centre for abstaining from UN voting on truce call between Israel and Hamas","The resolution, significantly, does not contain the words ‘Hamas’ and ‘hostage’"
Actor-politician Suresh Gopi booked on woman journalist’s complaint,"A controversy erupted over Gopi's interaction with a journalist in Kozhikode on Friday, when he twice put his hand on her shoulder while answering her questions."
Your govt taking India’s economy to ‘defaulter kaal’: Kharge slams PM,Kharge also shared a media report on X which claimed that the outstanding amount due from wilful defaulters has risen at a pace of more than Rs 100 crore daily since March 2019.
"Murder in a UP farmhouse: Love, betrayal and a 9-yr-old’s testimony against his motherPremium Story","Less than a year before Sukhjeet, a British citizen, was found dead in his ancestral village in Shahjahanpur, he got a call from his long lost childhood friend. What followed was a reunion and a dangerous liaison that ended in the death of one"
India abstains on UNGA resolution calling for humanitarian truce in Israel-Hamas conflict,India voted in favour of a failed Canadian amendment calling for condemning Hamas
V K Pandian Profile: The man in the picture,"Private secretary to CM Naveen Patnaik for 12 years, Pandian’s recent move has heightened speculation on a possible political turn"
Rice production to dip 3.7% due to uneven monsoon,"As per the Agriculture Ministry, the area for rice production in the kharif season for 2023 is 411 lakh hectare, which is higher than 404.27 lakh hectare during the same season in 2022."
